Labels,uy-a001-2 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.93675852E+0,
301.00,1.92319381E+0,
302.00,1.91103888E+0,
303.00,1.89138758E+0,
304.00,1.86988509E+0,
305.00,1.84688222E+0,
306.00,1.82559896E+0,
307.00,1.80032504E+0,
308.00,1.78065622E+0,
309.00,1.75679684E+0,
310.00,1.73580670E+0,
311.00,1.71714854E+0,
312.00,1.69980907E+0,
313.00,1.68162084E+0,
314.00,1.66261888E+0,
315.00,1.64288926E+0,
316.00,1.62073636E+0,
317.00,1.59079444E+0,
318.00,1.55807388E+0,
319.00,1.51847136E+0,
320.00,1.47209215E+0,
321.00,1.42290902E+0,
322.00,1.37102401E+0,
323.00,1.31758225E+0,
324.00,1.26777506E+0,
325.00,1.22137594E+0,
326.00,1.18173766E+0,
327.00,1.14247346E+0,
328.00,1.10922539E+0,
329.00,1.08089817E+0,
330.00,1.05316675E+0,
331.00,1.02773023E+0,
332.00,1.00474679E+0,
333.00,9.82490003E-1,
334.00,9.62228954E-1,
335.00,9.40975428E-1,
336.00,9.20963168E-1,
337.00,9.01598334E-1,
338.00,8.83340657E-1,
339.00,8.65432024E-1,
340.00,8.49450231E-1,
341.00,8.33351672E-1,
342.00,8.19275618E-1,
343.00,8.03997397E-1,
344.00,7.88655400E-1,
345.00,7.72535205E-1,
346.00,7.56097496E-1,
347.00,7.41800666E-1,
348.00,7.28695571E-1,
349.00,7.18555987E-1,
350.00,7.09542871E-1,
351.00,7.02167034E-1,
352.00,6.95194662E-1,
353.00,6.88885629E-1,
354.00,6.84340537E-1,
355.00,6.79708123E-1,
356.00,6.75181866E-1,
357.00,6.71112180E-1,
358.00,6.67599440E-1,
359.00,6.64157689E-1,
360.00,6.60686910E-1,
361.00,6.58022165E-1,
362.00,6.55032635E-1,
363.00,6.52315915E-1,
364.00,6.49707019E-1,
365.00,6.47141278E-1,
366.00,6.44842029E-1,
367.00,6.42662585E-1,
368.00,6.40664279E-1,
369.00,6.39185071E-1,
370.00,6.37155592E-1,
371.00,6.34961784E-1,
