Labels,Absorbance-UY-A001,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.62822151E+0,
301.00,1.61201048E+0,
302.00,1.59348500E+0,
303.00,1.57799947E+0,
304.00,1.56196213E+0,
305.00,1.53993249E+0,
306.00,1.52297783E+0,
307.00,1.50053513E+0,
308.00,1.48074162E+0,
309.00,1.46137929E+0,
310.00,1.44342339E+0,
311.00,1.42450964E+0,
312.00,1.40858233E+0,
313.00,1.39310956E+0,
314.00,1.37771225E+0,
315.00,1.36180913E+0,
316.00,1.34303176E+0,
317.00,1.31719482E+0,
318.00,1.29035378E+0,
319.00,1.25574636E+0,
320.00,1.21884930E+0,
321.00,1.17649698E+0,
322.00,1.13406563E+0,
323.00,1.09490407E+0,
324.00,1.05392933E+0,
325.00,1.01428008E+0,
326.00,9.79192257E-1,
327.00,9.48217213E-1,
328.00,9.18072283E-1,
329.00,8.92627239E-1,
330.00,8.69215488E-1,
331.00,8.47962022E-1,
332.00,8.29501987E-1,
333.00,8.10955644E-1,
334.00,7.94189274E-1,
335.00,7.76874900E-1,
336.00,7.60256588E-1,
337.00,7.44222701E-1,
338.00,7.28516400E-1,
339.00,7.14407682E-1,
340.00,6.99958861E-1,
341.00,6.86686337E-1,
342.00,6.74791515E-1,
343.00,6.63239777E-1,
344.00,6.50894582E-1,
345.00,6.36905372E-1,
346.00,6.23711407E-1,
347.00,6.12006426E-1,
348.00,6.01567745E-1,
349.00,5.92576563E-1,
350.00,5.85106969E-1,
351.00,5.78632534E-1,
352.00,5.72802126E-1,
353.00,5.68336666E-1,
354.00,5.63420475E-1,
355.00,5.59723079E-1,
356.00,5.56045949E-1,
357.00,5.52678406E-1,
358.00,5.49979448E-1,
359.00,5.46830893E-1,
360.00,5.44834018E-1,
361.00,5.42010128E-1,
362.00,5.39579868E-1,
363.00,5.37469745E-1,
364.00,5.35334110E-1,
365.00,5.32945991E-1,
366.00,5.31096756E-1,
367.00,5.29650867E-1,
368.00,5.28629243E-1,
369.00,5.26989341E-1,
370.00,5.24984598E-1,
371.00,5.23904979E-1,
