Labels,Absorbance UY_AB_001,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.14721870E-1,
301.00,5.10923982E-1,
302.00,5.07041991E-1,
303.00,5.04413307E-1,
304.00,5.01517594E-1,
305.00,4.99296397E-1,
306.00,4.97384101E-1,
307.00,4.96449172E-1,
308.00,4.96202886E-1,
309.00,4.97131705E-1,
310.00,4.98490065E-1,
311.00,5.01396656E-1,
312.00,5.04699647E-1,
313.00,5.09428084E-1,
314.00,5.14966249E-1,
315.00,5.22033274E-1,
316.00,5.29442489E-1,
317.00,5.37112117E-1,
318.00,5.44255555E-1,
319.00,5.51798463E-1,
320.00,5.58242738E-1,
321.00,5.63391685E-1,
322.00,5.67045033E-1,
323.00,5.69205701E-1,
324.00,5.69317400E-1,
325.00,5.66922367E-1,
326.00,5.62575281E-1,
327.00,5.55777729E-1,
328.00,5.47720551E-1,
329.00,5.38771391E-1,
330.00,5.27918577E-1,
331.00,5.16389549E-1,
332.00,5.04595876E-1,
333.00,4.92024332E-1,
334.00,4.80362236E-1,
335.00,4.68854636E-1,
336.00,4.57641363E-1,
337.00,4.47492957E-1,
338.00,4.38471735E-1,
339.00,4.29503828E-1,
340.00,4.21133310E-1,
341.00,4.13232684E-1,
342.00,4.05457079E-1,
343.00,3.97644252E-1,
344.00,3.90694737E-1,
345.00,3.84022027E-1,
346.00,3.77449006E-1,
347.00,3.71008515E-1,
348.00,3.64266664E-1,
349.00,3.57957423E-1,
350.00,3.52101266E-1,
351.00,3.46042216E-1,
352.00,3.39977741E-1,
353.00,3.34746480E-1,
354.00,3.29185605E-1,
355.00,3.23488653E-1,
356.00,3.17749560E-1,
357.00,3.12144160E-1,
358.00,3.05527508E-1,
359.00,2.99482107E-1,
360.00,2.93596536E-1,
361.00,2.86795884E-1,
362.00,2.80195087E-1,
363.00,2.74512589E-1,
364.00,2.68465400E-1,
365.00,2.62874186E-1,
366.00,2.57117450E-1,
367.00,2.51368642E-1,
368.00,2.45820343E-1,
369.00,2.41038650E-1,
370.00,2.36211568E-1,
371.00,2.31783167E-1,
