Labels,Absorbance-UY-AB-002,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,2.19138637E-1,
301.00,2.19422579E-1,
302.00,2.16717958E-1,
303.00,2.19931006E-1,
304.00,2.19836265E-1,
305.00,2.19838217E-1,
306.00,2.19344512E-1,
307.00,2.18986019E-1,
308.00,2.18867525E-1,
309.00,2.18424857E-1,
310.00,2.17792973E-1,
311.00,2.16439560E-1,
312.00,2.15690389E-1,
313.00,2.15123445E-1,
314.00,2.14130834E-1,
315.00,2.12769389E-1,
316.00,2.11813584E-1,
317.00,2.10297465E-1,
318.00,2.08672345E-1,
319.00,2.07027987E-1,
320.00,2.04901204E-1,
321.00,2.02682242E-1,
322.00,1.99948326E-1,
323.00,1.97320804E-1,
324.00,1.94347203E-1,
325.00,1.91274494E-1,
326.00,1.88326746E-1,
327.00,1.85285375E-1,
328.00,1.81832209E-1,
329.00,1.78351805E-1,
330.00,1.75439730E-1,
331.00,1.72000334E-1,
332.00,1.68868721E-1,
333.00,1.65575340E-1,
334.00,1.62720039E-1,
335.00,1.59539685E-1,
336.00,1.56213716E-1,
337.00,1.53577939E-1,
338.00,1.50628299E-1,
339.00,1.48210749E-1,
340.00,1.45258904E-1,
341.00,1.42454535E-1,
342.00,1.39966369E-1,
343.00,1.37490794E-1,
344.00,1.35121927E-1,
345.00,1.32623494E-1,
346.00,1.30208820E-1,
347.00,1.27384484E-1,
348.00,1.25166267E-1,
349.00,1.22945055E-1,
350.00,1.20723829E-1,
351.00,1.18642613E-1,
352.00,1.16319366E-1,
353.00,1.14280879E-1,
354.00,1.12250760E-1,
355.00,1.10570125E-1,
356.00,1.08443499E-1,
357.00,1.06573589E-1,
358.00,1.04332745E-1,
359.00,1.02776349E-1,
360.00,1.00925587E-1,
361.00,9.93357003E-2,
362.00,9.73914564E-2,
363.00,9.57465097E-2,
364.00,9.36813802E-2,
365.00,9.24707800E-2,
366.00,9.09107998E-2,
367.00,8.95934552E-2,
368.00,8.78824443E-2,
369.00,8.59800279E-2,
370.00,8.46600756E-2,
371.00,8.30029622E-2,
