Labels,UY-AB-003 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.60063043E-1,
301.00,1.58211499E-1,
302.00,1.58458218E-1,
303.00,1.57796502E-1,
304.00,1.58727050E-1,
305.00,1.58619106E-1,
306.00,1.57338321E-1,
307.00,1.57500282E-1,
308.00,1.56151533E-1,
309.00,1.55285493E-1,
310.00,1.54141232E-1,
311.00,1.54115453E-1,
312.00,1.52929485E-1,
313.00,1.52963012E-1,
314.00,1.51233703E-1,
315.00,1.51546210E-1,
316.00,1.48056090E-1,
317.00,1.48856729E-1,
318.00,1.45637438E-1,
319.00,1.45265073E-1,
320.00,1.41581655E-1,
321.00,1.41803429E-1,
322.00,1.38093203E-1,
323.00,1.37362957E-1,
324.00,1.33477971E-1,
325.00,1.32649913E-1,
326.00,1.29066661E-1,
327.00,1.27479121E-1,
328.00,1.25005022E-1,
329.00,1.22492544E-1,
330.00,1.20358191E-1,
331.00,1.17454842E-1,
332.00,1.16728015E-1,
333.00,1.13698676E-1,
334.00,1.13137379E-1,
335.00,1.09348960E-1,
336.00,1.09103739E-1,
337.00,1.06013820E-1,
338.00,1.04868367E-1,
339.00,1.03085443E-1,
340.00,1.01299681E-1,
341.00,9.97799039E-2,
342.00,9.74091962E-2,
343.00,9.63455141E-2,
344.00,9.32190046E-2,
345.00,9.28675458E-2,
346.00,8.91695470E-2,
347.00,8.99085104E-2,
348.00,8.68946165E-2,
349.00,8.68334323E-2,
350.00,8.42032135E-2,
351.00,8.25913399E-2,
352.00,8.41450915E-2,
353.00,8.10202956E-2,
354.00,8.03426132E-2,
355.00,7.76190162E-2,
356.00,7.79644698E-2,
357.00,7.54584447E-2,
358.00,7.53433257E-2,
359.00,7.30133355E-2,
360.00,7.24012926E-2,
361.00,7.12756440E-2,
362.00,6.92904517E-2,
363.00,6.86212257E-2,
364.00,6.60105199E-2,
365.00,6.65600449E-2,
366.00,6.37820959E-2,
367.00,6.42276108E-2,
368.00,6.20237775E-2,
369.00,6.10093623E-2,
370.00,5.99401593E-2,
371.00,5.80112711E-2,
