Labels,EmScan_UY_AB_001,
Type,Emission Scan,
Comment,Range = [560.00 - 750.00] nm; Peak at 652.00 nm; FWHM = 47.55 nm; Color Coordinates (CIE 1931): x = 0.7059 y = 0.2940,
Start,400.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

400.00,1.10263374E+2,
401.00,1.35015411E+2,
402.00,1.29442291E+2,
403.00,1.20150269E+2,
404.00,1.19001160E+2,
405.00,1.35605820E+2,
406.00,1.28582199E+2,
407.00,7.24345551E+1,
408.00,1.36519257E+2,
409.00,1.20616402E+2,
410.00,5.53500252E+1,
411.00,5.07727814E+1,
412.00,7.15268173E+1,
413.00,7.95366058E+1,
414.00,9.15778732E+1,
415.00,8.48225479E+1,
416.00,9.26480789E+1,
417.00,6.14508972E+1,
418.00,8.97229691E+1,
419.00,1.01659683E+2,
420.00,8.11537323E+1,
421.00,6.47656555E+1,
422.00,7.67727814E+1,
423.00,1.22943954E+2,
424.00,7.44190216E+1,
425.00,6.62443008E+1,
426.00,7.82174606E+1,
427.00,8.02830582E+1,
428.00,9.02919998E+1,
429.00,7.41905441E+1,
430.00,6.81381989E+1,
431.00,1.06249214E+2,
432.00,6.82441940E+1,
433.00,7.83736267E+1,
434.00,5.83094292E+1,
435.00,6.63873062E+1,
436.00,5.03390694E+1,
437.00,5.24403915E+1,
438.00,5.05269470E+1,
439.00,6.48362122E+1,
440.00,5.27891273E+1,
441.00,8.74182205E+1,
442.00,5.29591370E+1,
443.00,4.28712463E+1,
444.00,7.56974792E+1,
445.00,5.74365845E+1,
446.00,1.13113876E+2,
447.00,4.53294220E+1,
448.00,8.25483627E+1,
449.00,3.51614761E+1,
450.00,4.35400772E+1,
451.00,7.07103577E+1,
452.00,6.26004906E+1,
453.00,3.34937401E+1,
454.00,5.45866928E+1,
455.00,5.47621956E+1,
456.00,7.18764801E+1,
457.00,7.84766006E+1,
458.00,6.16758308E+1,
459.00,5.97596817E+1,
460.00,4.93279915E+1,
461.00,5.38878708E+1,
462.00,6.49802246E+1,
463.00,4.13217697E+1,
464.00,3.05846748E+1,
465.00,2.63485241E+1,
466.00,3.31048698E+1,
467.00,5.98968315E+1,
468.00,5.12706146E+1,
469.00,5.59554482E+1,
470.00,9.20935898E+1,
471.00,4.05780792E+1,
472.00,2.03606815E+1,
473.00,2.72172890E+1,
474.00,3.17941608E+1,
475.00,3.41105537E+1,
476.00,2.73386021E+1,
