Labels,EmScan-UY-AB-002,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

400.00,9.85733490E+1,
401.00,1.27611572E+2,
402.00,1.44064911E+2,
403.00,1.14775856E+2,
404.00,9.60200806E+1,
405.00,1.30376770E+2,
406.00,1.40779739E+2,
407.00,9.57966003E+1,
408.00,1.56203659E+2,
409.00,1.74268784E+2,
410.00,1.02657440E+2,
411.00,1.27487816E+2,
412.00,1.28882401E+2,
413.00,1.13477364E+2,
414.00,8.98616028E+1,
415.00,1.26786850E+2,
416.00,1.42667206E+2,
417.00,9.46297302E+1,
418.00,1.43401642E+2,
419.00,9.38750153E+1,
420.00,8.34898834E+1,
421.00,1.05745483E+2,
422.00,6.09138336E+1,
423.00,1.01278725E+2,
424.00,1.11146896E+2,
425.00,1.37217407E+2,
426.00,5.84434738E+1,
427.00,1.12792969E+2,
428.00,1.28953049E+2,
429.00,7.05010986E+1,
430.00,1.32905731E+2,
431.00,1.36969330E+2,
432.00,1.06794060E+2,
433.00,1.39188477E+2,
434.00,1.15122742E+2,
435.00,1.25294609E+2,
436.00,8.08931961E+1,
437.00,1.03269394E+2,
438.00,9.33079453E+1,
439.00,1.32170700E+2,
440.00,7.53923645E+1,
441.00,9.79758148E+1,
442.00,6.34203262E+1,
443.00,1.10687225E+2,
444.00,8.01476364E+1,
445.00,9.68470459E+1,
446.00,7.43585281E+1,
447.00,8.89792786E+1,
448.00,1.05716026E+2,
449.00,8.51355515E+1,
450.00,6.03687973E+1,
451.00,9.60179138E+1,
452.00,8.58937912E+1,
453.00,5.25432854E+1,
454.00,9.69440384E+1,
455.00,4.65186501E+1,
456.00,1.01869965E+2,
457.00,6.60279770E+1,
458.00,7.05019302E+1,
459.00,8.14355011E+1,
460.00,9.68893204E+1,
461.00,1.10355911E+2,
462.00,8.69298019E+1,
463.00,5.01881828E+1,
464.00,8.98833313E+1,
465.00,5.94756660E+1,
466.00,4.65066872E+1,
467.00,6.01001320E+1,
468.00,8.27724075E+1,
469.00,1.01056236E+2,
470.00,6.08545532E+1,
471.00,4.97692413E+1,
472.00,7.25777588E+1,
473.00,5.00349960E+1,
474.00,8.65797119E+1,
475.00,4.56476746E+1,
476.00,5.94559097E+1,
477.00,5.50085526E+1,
478.00,6.89786453E+1,
479.00,4.61126404E+1,
480.00,7.62728195E+1,
481.00,4.85911827E+1,
482.00,4.40478973E+1,
483.00,6.73813171E+1,
484.00,9.08569565E+1,
485.00,1.16876888E+1,
486.00,4.92704468E+1,
487.00,3.53223228E+1,
488.00,1.18217010E+1,
489.00,4.03733292E+1,
490.00,7.16098251E+1,
491.00,6.47641983E+1,
492.00,6.99261169E+1,
493.00,2.42647076E+1,
494.00,5.61348381E+1,
495.00,4.90996790E+0,
496.00,4.19634666E+1,
497.00,3.22799721E+1,
498.00,4.24261971E+1,
499.00,7.52717209E+1,
500.00,2.52307434E+1,
501.00,3.80682449E+1,
502.00,6.38487701E+1,
503.00,2.56876411E+1,
504.00,1.81002026E+1,
505.00,4.42295647E+1,
506.00,5.75610046E+1,
507.00,4.73635941E+1,
508.00,5.55850830E+1,
509.00,5.06252060E+1,
510.00,2.95016365E+1,
511.00,7.02229919E+1,
512.00,8.15723190E+1,
513.00,2.46373997E+1,
514.00,5.23654938E+1,
515.00,6.93413773E+1,
516.00,7.81242065E+1,
517.00,8.14135590E+1,
518.00,1.97943192E+1,
519.00,3.13277683E+1,
520.00,4.30183372E+1,
521.00,3.17769642E+1,
522.00,5.81925545E+1,
523.00,1.17213793E+1,
524.00,4.12998085E+1,
525.00,3.86105003E+1,
526.00,5.98320770E+1,
527.00,3.01289024E+1,
528.00,3.03289604E+0,
529.00,4.58164825E+1,
530.00,1.23016357E+1,
531.00,8.97963715E+1,
532.00,5.30004997E+1,
533.00,9.10637283E+1,
534.00,3.79650269E+1,
535.00,1.59299316E+1,
536.00,6.41655045E+1,
537.00,3.87705231E+1,
538.00,5.53153687E+1,
539.00,6.22961426E+1,
540.00,0.00000000E+0,
541.00,4.32690048E+1,
542.00,1.00604401E+1,
543.00,6.75725937E+1,
544.00,6.80777788E+0,
545.00,6.17266045E+1,
546.00,3.80104561E+1,
547.00,6.27000351E+1,
548.00,3.15817165E+1,
549.00,4.95010605E+1,
550.00,1.78084965E+1,
551.00,6.45905762E+1,
552.00,1.08494511E+1,
553.00,4.00640068E+1,
554.00,3.30085106E+1,
555.00,7.39079714E+0,
556.00,5.21360588E+1,
557.00,1.87735577E+1,
558.00,1.02051369E+2,
559.00,7.61758194E+1,
560.00,1.34407776E+2,
561.00,1.00644165E+2,
562.00,4.29229088E+1,
563.00,1.18033768E+2,
564.00,1.98277760E+1,
565.00,9.19866104E+1,
566.00,6.04728889E+1,
567.00,7.31841507E+1,
568.00,9.01654205E+1,
569.00,1.57084702E+2,
570.00,1.20811241E+2,
571.00,1.97394073E+2,
572.00,2.71018738E+2,
573.00,2.64593384E+2,
574.00,2.92499207E+2,
575.00,2.90567993E+2,
576.00,3.97749390E+2,
577.00,5.94688599E+2,
578.00,5.55013916E+2,
579.00,6.53824524E+2,
580.00,8.26420898E+2,
581.00,8.19448303E+2,
582.00,8.94550110E+2,
583.00,1.00393463E+3,
584.00,1.06905444E+3,
585.00,1.48821399E+3,
586.00,1.54338733E+3,
587.00,1.73317566E+3,
588.00,1.52942896E+3,
589.00,1.63838855E+3,
590.00,1.62669116E+3,
591.00,1.77820203E+3,
592.00,1.71762402E+3,
593.00,1.69642285E+3,
594.00,1.79570288E+3,
595.00,1.49878845E+3,
596.00,1.66020825E+3,
597.00,1.62245435E+3,
598.00,1.35321448E+3,
599.00,1.35358630E+3,
600.00,1.47141907E+3,
601.00,1.34017725E+3,
602.00,1.30908105E+3,
603.00,1.23953162E+3,
604.00,1.50412366E+3,
605.00,1.46291785E+3,
606.00,1.44307898E+3,
607.00,1.54724866E+3,
608.00,1.44667358E+3,
609.00,1.67945007E+3,
610.00,1.60844836E+3,
611.00,1.63547961E+3,
612.00,1.63962268E+3,
613.00,1.95635449E+3,
614.00,2.03178857E+3,
615.00,2.15815649E+3,
616.00,2.47277881E+3,
617.00,2.38595508E+3,
618.00,2.54455249E+3,
619.00,2.77633984E+3,
620.00,2.85747900E+3,
621.00,3.14375317E+3,
622.00,2.87383716E+3,
623.00,3.47854956E+3,
624.00,3.42743262E+3,
625.00,4.01197510E+3,
626.00,4.03706128E+3,
627.00,3.75953296E+3,
628.00,4.16711035E+3,
629.00,5.35572900E+3,
630.00,4.62537256E+3,
631.00,5.45531006E+3,
632.00,5.50716602E+3,
633.00,5.32592334E+3,
634.00,6.07702197E+3,
635.00,5.96171533E+3,
636.00,6.33184619E+3,
637.00,6.82932764E+3,
638.00,6.89144141E+3,
639.00,7.17127686E+3,
640.00,7.28516357E+3,
641.00,7.18988770E+3,
642.00,7.03408545E+3,
643.00,7.59732520E+3,
644.00,7.86273047E+3,
645.00,7.68402588E+3,
646.00,8.13904639E+3,
647.00,7.76206738E+3,
648.00,7.88422803E+3,
649.00,8.79792871E+3,
650.00,8.49030566E+3,
651.00,8.90552637E+3,
652.00,8.92020020E+3,
653.00,8.62059863E+3,
654.00,8.93823145E+3,
655.00,9.29537891E+3,
656.00,1.00888564E+4,
657.00,9.43406641E+3,
658.00,1.03515908E+4,
659.00,9.23344629E+3,
660.00,1.03788818E+4,
661.00,1.01538877E+4,
662.00,9.94431152E+3,
663.00,1.07553242E+4,
664.00,1.06793174E+4,
665.00,1.12170742E+4,
666.00,1.10827910E+4,
667.00,1.13172119E+4,
668.00,1.11823086E+4,
669.00,1.20671943E+4,
670.00,1.27146543E+4,
671.00,1.23691836E+4,
672.00,1.22759111E+4,
673.00,1.31242344E+4,
674.00,1.26387100E+4,
675.00,1.44434863E+4,
676.00,1.34471895E+4,
677.00,1.41913398E+4,
678.00,1.52677510E+4,
679.00,1.45149336E+4,
680.00,1.52995117E+4,
681.00,1.50914863E+4,
682.00,1.55844053E+4,
683.00,1.62813672E+4,
684.00,1.63813545E+4,
685.00,1.69812344E+4,
686.00,1.68350352E+4,
687.00,1.81574160E+4,
688.00,1.83646992E+4,
689.00,1.78990391E+4,
690.00,1.78684355E+4,
691.00,1.94532207E+4,
692.00,1.94797305E+4,
693.00,2.10898691E+4,
694.00,1.92360117E+4,
695.00,2.06916152E+4,
696.00,2.02105605E+4,
697.00,1.95811094E+4,
698.00,2.10289688E+4,
699.00,2.08901934E+4,
700.00,2.31054082E+4,
701.00,2.15614512E+4,
702.00,2.15405879E+4,
703.00,2.25857441E+4,
704.00,2.20475273E+4,
705.00,2.28183301E+4,
706.00,2.18852715E+4,
707.00,2.22264902E+4,
708.00,2.28289668E+4,
709.00,2.23521699E+4,
710.00,2.34534570E+4,
711.00,2.31602578E+4,
712.00,2.16699746E+4,
713.00,2.36519492E+4,
714.00,2.39935371E+4,
715.00,2.35919941E+4,
716.00,2.22691289E+4,
717.00,2.28329199E+4,
718.00,2.11621074E+4,
719.00,2.20066445E+4,
720.00,2.19559707E+4,
721.00,2.15458184E+4,
722.00,2.25568340E+4,
723.00,2.18482773E+4,
724.00,2.10482969E+4,
725.00,2.10078984E+4,
726.00,2.14151445E+4,
727.00,2.11353047E+4,
728.00,2.14135859E+4,
729.00,1.93088594E+4,
730.00,2.07373809E+4,
731.00,2.05804746E+4,
732.00,1.98479180E+4,
733.00,1.77337305E+4,
734.00,1.80635977E+4,
735.00,1.84244336E+4,
736.00,1.59308164E+4,
737.00,1.73951543E+4,
738.00,1.70292578E+4,
739.00,1.74966426E+4,
740.00,1.59078018E+4,
741.00,1.57168887E+4,
742.00,1.57041230E+4,
743.00,1.47780371E+4,
744.00,1.37846133E+4,
745.00,1.28455234E+4,
746.00,1.50366670E+4,
747.00,1.32839717E+4,
748.00,1.39171592E+4,
749.00,1.11072500E+4,
750.00,1.13902002E+4,
