Labels,ExScan-UY-A001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,505.00,
Step,1.00,
Fixed/Offset,515.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.49984244,
Detector,Detector 1,

300.00,4.90385281E+5,
301.00,4.94126844E+5,
302.00,4.99795938E+5,
303.00,5.07853156E+5,
304.00,5.13321188E+5,
305.00,5.20959406E+5,
306.00,5.24336375E+5,
307.00,5.33185563E+5,
308.00,5.39502813E+5,
309.00,5.47206375E+5,
310.00,5.55092750E+5,
311.00,5.55214125E+5,
312.00,5.60658813E+5,
313.00,5.72622625E+5,
314.00,5.73680063E+5,
315.00,5.76432500E+5,
316.00,5.83368563E+5,
317.00,5.85999750E+5,
318.00,5.94303563E+5,
319.00,6.02828438E+5,
320.00,6.06493625E+5,
321.00,6.14907813E+5,
322.00,6.24843000E+5,
323.00,6.29386063E+5,
324.00,6.33345875E+5,
325.00,6.39109813E+5,
326.00,6.39126188E+5,
327.00,6.39825688E+5,
328.00,6.42174500E+5,
329.00,6.44408125E+5,
330.00,6.46476375E+5,
331.00,6.43882438E+5,
332.00,6.45202563E+5,
333.00,6.43233750E+5,
334.00,6.42003000E+5,
335.00,6.40707750E+5,
336.00,6.34855688E+5,
337.00,6.34919438E+5,
338.00,6.34207438E+5,
339.00,6.30661000E+5,
340.00,6.30957375E+5,
341.00,6.27826000E+5,
342.00,6.25195438E+5,
343.00,6.22953875E+5,
344.00,6.20863438E+5,
345.00,6.19771313E+5,
346.00,6.18804000E+5,
347.00,6.16243750E+5,
348.00,6.14796063E+5,
349.00,6.10969688E+5,
350.00,6.09700688E+5,
351.00,6.09745250E+5,
352.00,6.08773750E+5,
353.00,6.07479688E+5,
354.00,6.05182938E+5,
355.00,6.05177438E+5,
356.00,6.03829313E+5,
357.00,6.05206125E+5,
358.00,6.03940313E+5,
359.00,6.03726438E+5,
360.00,6.05771250E+5,
361.00,6.04041250E+5,
362.00,6.03343000E+5,
363.00,6.01142750E+5,
364.00,5.99888875E+5,
365.00,5.98290313E+5,
366.00,5.99150250E+5,
367.00,5.98771438E+5,
368.00,5.96183750E+5,
369.00,5.94011375E+5,
370.00,5.91856688E+5,
371.00,5.90295750E+5,
372.00,5.89777250E+5,
373.00,5.85550188E+5,
374.00,5.86909188E+5,
375.00,5.84028938E+5,
376.00,5.86104063E+5,
377.00,5.83335250E+5,
378.00,5.85452438E+5,
379.00,5.82299750E+5,
380.00,5.84056313E+5,
381.00,5.84527375E+5,
382.00,5.86215188E+5,
383.00,5.84578313E+5,
384.00,5.84412938E+5,
385.00,5.84823500E+5,
386.00,5.85783438E+5,
387.00,5.84621250E+5,
388.00,5.88951750E+5,
389.00,5.87417625E+5,
390.00,5.89789063E+5,
391.00,5.85921000E+5,
392.00,5.88883250E+5,
393.00,5.91386813E+5,
394.00,5.88878688E+5,
395.00,5.90273313E+5,
396.00,5.92539625E+5,
397.00,5.91109313E+5,
398.00,5.92158313E+5,
399.00,5.92091313E+5,
400.00,5.91638188E+5,
401.00,5.95668375E+5,
402.00,5.93567250E+5,
403.00,5.94244625E+5,
404.00,5.95878875E+5,
405.00,5.94740688E+5,
406.00,5.93632750E+5,
407.00,5.94689688E+5,
408.00,5.97382938E+5,
409.00,5.95982313E+5,
410.00,6.00374125E+5,
411.00,6.01486063E+5,
412.00,6.03224188E+5,
413.00,6.02466875E+5,
414.00,6.01245625E+5,
415.00,6.01023563E+5,
416.00,6.02541125E+5,
417.00,6.06460250E+5,
418.00,6.06987313E+5,
419.00,6.06743875E+5,
420.00,6.06563250E+5,
421.00,6.07548125E+5,
422.00,6.06395125E+5,
423.00,6.05900000E+5,
424.00,6.05903000E+5,
425.00,6.07288875E+5,
426.00,6.06545438E+5,
427.00,6.01766375E+5,
428.00,5.99586188E+5,
429.00,5.94922063E+5,
430.00,5.87600250E+5,
431.00,5.84193500E+5,
432.00,5.81661250E+5,
433.00,5.70633000E+5,
434.00,5.64410563E+5,
435.00,5.56151188E+5,
436.00,5.48294375E+5,
437.00,5.45738688E+5,
438.00,5.40636563E+5,
439.00,5.30978063E+5,
440.00,5.28016125E+5,
441.00,5.23342688E+5,
442.00,5.20152781E+5,
443.00,5.17875813E+5,
444.00,5.13861219E+5,
445.00,5.14173250E+5,
446.00,5.14211813E+5,
447.00,5.14389344E+5,
448.00,5.13100969E+5,
449.00,5.12194719E+5,
450.00,5.09445719E+5,
451.00,5.15532063E+5,
452.00,5.17391656E+5,
453.00,5.17885000E+5,
454.00,5.20696406E+5,
455.00,5.22079938E+5,
456.00,5.27308000E+5,
457.00,5.28138563E+5,
458.00,5.32646750E+5,
459.00,5.35257500E+5,
460.00,5.42470000E+5,
461.00,5.50830438E+5,
462.00,5.55660875E+5,
463.00,5.59465625E+5,
464.00,5.64272875E+5,
465.00,5.75575500E+5,
466.00,5.89809625E+5,
467.00,5.93558750E+5,
468.00,6.01082375E+5,
469.00,6.12539313E+5,
470.00,6.21566813E+5,
471.00,6.32076688E+5,
472.00,6.48757375E+5,
473.00,6.45178250E+5,
474.00,6.59763500E+5,
475.00,6.70802375E+5,
476.00,6.75648875E+5,
477.00,6.83354375E+5,
478.00,6.84694750E+5,
479.00,6.85794938E+5,
480.00,6.87889125E+5,
481.00,6.83218313E+5,
482.00,6.78375563E+5,
483.00,6.68927813E+5,
484.00,6.61669938E+5,
485.00,6.51731063E+5,
486.00,6.35019938E+5,
487.00,6.16219375E+5,
488.00,6.00160625E+5,
489.00,5.84814375E+5,
490.00,5.70197500E+5,
491.00,5.59798125E+5,
492.00,5.43508063E+5,
493.00,5.38087438E+5,
494.00,5.35928188E+5,
495.00,5.32692938E+5,
496.00,5.37801375E+5,
497.00,5.44791313E+5,
498.00,5.52129938E+5,
499.00,5.58436188E+5,
500.00,5.74589250E+5,
501.00,5.86216500E+5,
502.00,6.02122625E+5,
503.00,6.14008438E+5,
