Labels,ExScan_UY_AB_001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,642.00,
Step,1.00,
Fixed/Offset,652.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

300.00,6.51407813E+5,
301.00,6.40492875E+5,
302.00,6.31020688E+5,
303.00,6.27347250E+5,
304.00,6.27132688E+5,
305.00,6.23908688E+5,
306.00,6.24722625E+5,
307.00,6.25218875E+5,
308.00,6.24348500E+5,
309.00,6.31156563E+5,
310.00,6.25583000E+5,
311.00,6.36333313E+5,
312.00,6.42521188E+5,
313.00,6.43150375E+5,
314.00,6.47250625E+5,
315.00,6.51184500E+5,
316.00,6.57674688E+5,
317.00,6.67354375E+5,
318.00,6.63224500E+5,
319.00,6.68005750E+5,
320.00,6.73497938E+5,
321.00,6.69505375E+5,
322.00,6.73327250E+5,
323.00,6.75045688E+5,
324.00,6.78339938E+5,
325.00,6.74585250E+5,
326.00,6.66241000E+5,
327.00,6.61522375E+5,
328.00,6.56889000E+5,
329.00,6.55701500E+5,
330.00,6.45980625E+5,
331.00,6.38932188E+5,
332.00,6.30415938E+5,
333.00,6.21432563E+5,
334.00,6.07535125E+5,
335.00,5.97928313E+5,
336.00,5.91127875E+5,
337.00,5.88023063E+5,
338.00,5.84093375E+5,
339.00,5.76504875E+5,
340.00,5.66478188E+5,
341.00,5.58509938E+5,
342.00,5.54121063E+5,
343.00,5.46103125E+5,
344.00,5.45872563E+5,
345.00,5.39046813E+5,
346.00,5.41748063E+5,
347.00,5.27514563E+5,
348.00,5.24548688E+5,
349.00,5.15783406E+5,
350.00,5.13779188E+5,
351.00,5.06451063E+5,
352.00,5.03295031E+5,
353.00,4.95582469E+5,
354.00,4.92244969E+5,
355.00,4.88652250E+5,
356.00,4.79493125E+5,
357.00,4.76929500E+5,
358.00,4.68450313E+5,
359.00,4.64240594E+5,
360.00,4.56842000E+5,
361.00,4.49791469E+5,
362.00,4.40847313E+5,
363.00,4.30733469E+5,
364.00,4.29745531E+5,
365.00,4.19136594E+5,
366.00,4.14169500E+5,
367.00,4.02779188E+5,
368.00,3.98648813E+5,
369.00,3.90690656E+5,
370.00,3.80286344E+5,
371.00,3.79098500E+5,
372.00,3.71237688E+5,
373.00,3.67486781E+5,
374.00,3.63746000E+5,
375.00,3.54723406E+5,
376.00,3.56213063E+5,
377.00,3.48235594E+5,
378.00,3.41677063E+5,
379.00,3.42424813E+5,
380.00,3.37161500E+5,
381.00,3.36003156E+5,
382.00,3.31429406E+5,
383.00,3.29116656E+5,
384.00,3.21908281E+5,
385.00,3.20667313E+5,
386.00,3.12363969E+5,
387.00,3.10632500E+5,
388.00,3.07134563E+5,
389.00,3.03558906E+5,
390.00,3.03232031E+5,
391.00,2.94340344E+5,
392.00,2.94162125E+5,
393.00,2.87097406E+5,
394.00,2.86021719E+5,
395.00,2.80536844E+5,
396.00,2.78729000E+5,
397.00,2.79298656E+5,
398.00,2.72617656E+5,
399.00,2.69551938E+5,
400.00,2.68744938E+5,
401.00,2.63627656E+5,
402.00,2.62849438E+5,
403.00,2.62378219E+5,
404.00,2.62980906E+5,
405.00,2.59599453E+5,
406.00,2.57764609E+5,
407.00,2.55247938E+5,
408.00,2.54268188E+5,
409.00,2.50890125E+5,
410.00,2.52219359E+5,
411.00,2.51314359E+5,
412.00,2.50291984E+5,
413.00,2.48750375E+5,
414.00,2.46515594E+5,
415.00,2.46085797E+5,
416.00,2.46099500E+5,
417.00,2.41285859E+5,
418.00,2.42762016E+5,
419.00,2.40501797E+5,
420.00,2.39608766E+5,
421.00,2.38916313E+5,
422.00,2.34267313E+5,
423.00,2.33423281E+5,
424.00,2.33515906E+5,
425.00,2.33070734E+5,
426.00,2.34354563E+5,
427.00,2.30331125E+5,
428.00,2.30565375E+5,
429.00,2.29813453E+5,
430.00,2.27614875E+5,
431.00,2.23675906E+5,
432.00,2.20633891E+5,
433.00,2.23776234E+5,
434.00,2.17177125E+5,
435.00,2.19779453E+5,
436.00,2.16956078E+5,
437.00,2.11511406E+5,
438.00,2.10875953E+5,
439.00,2.08879719E+5,
440.00,2.09425797E+5,
441.00,2.04884391E+5,
442.00,2.05790594E+5,
443.00,2.06931188E+5,
444.00,2.05609281E+5,
445.00,2.03110313E+5,
446.00,2.00557797E+5,
447.00,2.00329672E+5,
448.00,2.00906859E+5,
449.00,2.01257953E+5,
450.00,2.00451719E+5,
451.00,1.99560063E+5,
452.00,2.01480016E+5,
453.00,1.98564563E+5,
454.00,1.99046156E+5,
455.00,2.02888453E+5,
456.00,2.03713938E+5,
457.00,2.00795031E+5,
458.00,1.98973438E+5,
459.00,2.05516563E+5,
460.00,2.01655031E+5,
461.00,2.03842625E+5,
462.00,2.01608141E+5,
463.00,2.03274219E+5,
464.00,2.04023719E+5,
465.00,2.08192000E+5,
466.00,2.11308078E+5,
467.00,2.09095203E+5,
468.00,2.09975703E+5,
469.00,2.11788641E+5,
470.00,2.11948266E+5,
471.00,2.16673563E+5,
472.00,2.18909047E+5,
473.00,2.22610234E+5,
474.00,2.22643047E+5,
475.00,2.28685625E+5,
476.00,2.28834016E+5,
477.00,2.32818203E+5,
478.00,2.37345313E+5,
479.00,2.42734313E+5,
480.00,2.43522203E+5,
481.00,2.42556625E+5,
482.00,2.43903875E+5,
483.00,2.44793938E+5,
484.00,2.50360781E+5,
485.00,2.46372203E+5,
486.00,2.50269047E+5,
487.00,2.56484172E+5,
488.00,2.59002125E+5,
489.00,2.61159297E+5,
490.00,2.67590313E+5,
491.00,2.70105406E+5,
492.00,2.77059031E+5,
493.00,2.79935750E+5,
494.00,2.87982656E+5,
495.00,2.96183281E+5,
496.00,3.00897594E+5,
497.00,3.01851406E+5,
498.00,3.04658781E+5,
499.00,3.12154531E+5,
500.00,3.03732375E+5,
501.00,3.00951750E+5,
502.00,2.98021625E+5,
503.00,2.91466000E+5,
