Labels,ExScan-UY-AB-001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,690.00,
Step,1.00,
Fixed/Offset,700.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

300.00,1.16097314E+4,
301.00,1.31539629E+4,
302.00,1.35095078E+4,
303.00,1.54738535E+4,
304.00,1.77443867E+4,
305.00,1.84919570E+4,
306.00,1.72486387E+4,
307.00,1.89719883E+4,
308.00,2.11342109E+4,
309.00,2.29157852E+4,
310.00,2.23437891E+4,
311.00,2.42213340E+4,
312.00,2.52717773E+4,
313.00,2.55866484E+4,
314.00,2.60966855E+4,
315.00,2.66925723E+4,
316.00,2.69337676E+4,
317.00,2.88513770E+4,
318.00,2.80247480E+4,
319.00,2.89552500E+4,
320.00,2.82667969E+4,
321.00,2.88526309E+4,
322.00,2.84182520E+4,
323.00,3.05326816E+4,
324.00,2.93783184E+4,
325.00,2.92643281E+4,
326.00,2.95395234E+4,
327.00,2.77203672E+4,
328.00,2.96083945E+4,
329.00,2.77608789E+4,
330.00,2.80364531E+4,
331.00,2.58284238E+4,
332.00,2.87351445E+4,
333.00,2.73143906E+4,
334.00,2.77874102E+4,
335.00,2.49761641E+4,
336.00,2.67715586E+4,
337.00,2.57096309E+4,
338.00,2.59248672E+4,
339.00,2.42041582E+4,
340.00,2.54713027E+4,
341.00,2.42506895E+4,
342.00,2.46393496E+4,
343.00,2.47530625E+4,
344.00,2.47138555E+4,
345.00,2.40085527E+4,
346.00,2.40971797E+4,
347.00,2.37274043E+4,
348.00,2.32166465E+4,
349.00,2.43825703E+4,
350.00,2.21377148E+4,
351.00,2.13667148E+4,
352.00,2.10510000E+4,
353.00,2.18492617E+4,
354.00,2.16775449E+4,
355.00,2.12091875E+4,
356.00,2.06734121E+4,
357.00,1.86648535E+4,
358.00,1.99678926E+4,
359.00,2.03317012E+4,
360.00,1.80330313E+4,
361.00,1.75223906E+4,
362.00,1.97734746E+4,
363.00,1.92264980E+4,
364.00,1.71723203E+4,
365.00,1.84406484E+4,
366.00,1.71967324E+4,
367.00,1.82731055E+4,
368.00,1.75176855E+4,
369.00,1.59969580E+4,
370.00,1.50749707E+4,
371.00,1.53262256E+4,
372.00,1.63399590E+4,
373.00,1.43155469E+4,
374.00,1.44866182E+4,
375.00,1.52276094E+4,
376.00,1.59661211E+4,
377.00,1.52716680E+4,
378.00,1.32348486E+4,
379.00,1.50886094E+4,
380.00,1.38097568E+4,
381.00,1.42861387E+4,
382.00,1.35153252E+4,
383.00,1.34678818E+4,
384.00,1.36971885E+4,
385.00,1.36417891E+4,
386.00,1.42812432E+4,
387.00,1.28228594E+4,
388.00,1.32204961E+4,
389.00,1.38043428E+4,
390.00,1.33898828E+4,
391.00,1.32240459E+4,
392.00,1.31712578E+4,
393.00,1.29255596E+4,
394.00,1.22735068E+4,
395.00,1.26679063E+4,
396.00,1.26162900E+4,
397.00,1.25774248E+4,
398.00,1.19414521E+4,
399.00,1.27007705E+4,
400.00,1.21920225E+4,
401.00,1.24053076E+4,
402.00,1.24223574E+4,
403.00,1.30052988E+4,
404.00,1.32071406E+4,
405.00,1.15910830E+4,
406.00,1.30096865E+4,
407.00,1.19613096E+4,
408.00,1.30741143E+4,
409.00,1.20540254E+4,
410.00,1.18327500E+4,
411.00,1.26974834E+4,
412.00,1.22708105E+4,
413.00,1.13823779E+4,
414.00,1.23642314E+4,
415.00,1.18918330E+4,
416.00,1.18158438E+4,
417.00,1.14322266E+4,
418.00,1.19734229E+4,
419.00,1.16389609E+4,
420.00,1.10321357E+4,
421.00,1.19713672E+4,
422.00,1.03800430E+4,
423.00,1.09779951E+4,
424.00,1.06784063E+4,
425.00,1.04036914E+4,
426.00,1.13263555E+4,
427.00,1.05051826E+4,
428.00,1.06154561E+4,
429.00,1.05751865E+4,
430.00,1.07924033E+4,
431.00,1.03630977E+4,
432.00,1.01516240E+4,
433.00,1.00655078E+4,
434.00,1.01731475E+4,
435.00,9.70331348E+3,
436.00,9.22658789E+3,
437.00,8.48392090E+3,
438.00,9.40318848E+3,
439.00,9.56496289E+3,
440.00,9.23374707E+3,
441.00,8.22207715E+3,
442.00,8.24513867E+3,
443.00,8.25768848E+3,
444.00,8.58496875E+3,
445.00,8.53282227E+3,
446.00,7.83478711E+3,
447.00,8.00392773E+3,
448.00,8.33295020E+3,
449.00,8.40113965E+3,
450.00,8.42693945E+3,
451.00,8.41968652E+3,
452.00,8.04784863E+3,
453.00,8.12407178E+3,
454.00,8.94541602E+3,
455.00,8.39769336E+3,
456.00,7.38051660E+3,
457.00,8.29427734E+3,
458.00,7.83797998E+3,
459.00,7.65416504E+3,
460.00,8.39149609E+3,
461.00,7.86649365E+3,
462.00,8.77372656E+3,
463.00,7.95024756E+3,
464.00,8.12369678E+3,
465.00,8.40898633E+3,
466.00,8.18220215E+3,
467.00,8.11691162E+3,
468.00,9.51077539E+3,
469.00,8.13047705E+3,
470.00,9.06104395E+3,
471.00,9.09923438E+3,
472.00,8.49107813E+3,
473.00,7.56546533E+3,
474.00,7.88729248E+3,
475.00,9.49060938E+3,
476.00,9.41417285E+3,
477.00,9.36479785E+3,
478.00,9.61118262E+3,
479.00,9.40691016E+3,
480.00,9.83924609E+3,
481.00,9.01719336E+3,
482.00,1.03435996E+4,
483.00,9.54953516E+3,
484.00,9.20483887E+3,
485.00,8.73558789E+3,
486.00,8.24722461E+3,
487.00,9.65160742E+3,
488.00,9.14342090E+3,
489.00,7.61941895E+3,
490.00,8.56394824E+3,
491.00,8.33918945E+3,
492.00,9.04888379E+3,
493.00,8.32979102E+3,
494.00,9.30902148E+3,
495.00,8.48391406E+3,
496.00,8.48583496E+3,
497.00,8.36420313E+3,
498.00,8.21933301E+3,
499.00,8.09298193E+3,
500.00,8.30670410E+3,
501.00,8.87244727E+3,
502.00,1.04001924E+4,
503.00,9.05670020E+3,
