Labels,ExScan-UY-AB-003,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,580.00,
Step,1.00,
Fixed/Offset,724.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

300.00,1.31958848E+4,
301.00,1.72192852E+4,
302.00,1.72884141E+4,
303.00,2.08145527E+4,
304.00,1.84498438E+4,
305.00,2.16078223E+4,
306.00,2.57094453E+4,
307.00,2.32891699E+4,
308.00,2.74720059E+4,
309.00,2.39368105E+4,
310.00,2.71665020E+4,
311.00,2.73396836E+4,
312.00,3.12651543E+4,
313.00,2.99960918E+4,
314.00,3.32576211E+4,
315.00,3.06301270E+4,
316.00,3.28610859E+4,
317.00,3.31643359E+4,
318.00,3.22669004E+4,
319.00,3.57994336E+4,
320.00,3.45726367E+4,
321.00,3.24856211E+4,
322.00,3.25176230E+4,
323.00,3.37280938E+4,
324.00,3.43964180E+4,
325.00,3.31642188E+4,
326.00,3.08504355E+4,
327.00,3.40377773E+4,
328.00,3.08292227E+4,
329.00,3.22273750E+4,
330.00,3.25234199E+4,
331.00,3.12402695E+4,
332.00,3.03587891E+4,
333.00,3.09368418E+4,
334.00,3.10044590E+4,
335.00,3.14703496E+4,
336.00,3.00840898E+4,
337.00,3.05859043E+4,
338.00,2.97209414E+4,
339.00,2.98575371E+4,
340.00,2.90788281E+4,
341.00,3.00102012E+4,
342.00,2.79185918E+4,
343.00,2.86239160E+4,
344.00,2.72247109E+4,
345.00,2.59684727E+4,
346.00,2.66054688E+4,
347.00,2.66850820E+4,
348.00,2.65296035E+4,
349.00,2.76398125E+4,
350.00,2.49660059E+4,
351.00,2.49021367E+4,
352.00,2.55163008E+4,
353.00,2.51428164E+4,
354.00,2.58407617E+4,
355.00,2.47578125E+4,
356.00,2.39097734E+4,
357.00,2.33414590E+4,
358.00,2.44166055E+4,
359.00,2.39277363E+4,
360.00,2.22507012E+4,
361.00,2.15065859E+4,
362.00,2.05634492E+4,
363.00,2.02582363E+4,
364.00,2.17700859E+4,
365.00,2.00740098E+4,
366.00,2.05271914E+4,
367.00,2.03958203E+4,
368.00,2.15357832E+4,
369.00,2.03391660E+4,
370.00,2.04813477E+4,
371.00,1.97969336E+4,
372.00,1.77935996E+4,
373.00,1.84362656E+4,
374.00,1.77102793E+4,
375.00,1.86041211E+4,
376.00,1.73282168E+4,
377.00,1.82874102E+4,
378.00,1.69932637E+4,
379.00,1.72391250E+4,
380.00,1.77796777E+4,
381.00,1.66247813E+4,
382.00,1.66132852E+4,
383.00,1.64679727E+4,
384.00,1.58288672E+4,
385.00,1.56048682E+4,
386.00,1.62113330E+4,
387.00,1.60801396E+4,
388.00,1.63426611E+4,
389.00,1.61878516E+4,
390.00,1.55197236E+4,
391.00,1.62696377E+4,
392.00,1.60845557E+4,
393.00,1.50257441E+4,
394.00,1.52318691E+4,
395.00,1.63847930E+4,
396.00,1.63368115E+4,
397.00,1.48709336E+4,
398.00,1.61704082E+4,
399.00,1.62120830E+4,
400.00,1.57580986E+4,
401.00,1.63828242E+4,
402.00,1.52220400E+4,
403.00,1.52854688E+4,
404.00,1.56141523E+4,
405.00,1.45880684E+4,
406.00,1.59086992E+4,
407.00,1.54272334E+4,
408.00,1.52184414E+4,
409.00,1.45985430E+4,
410.00,1.53205791E+4,
411.00,1.44944131E+4,
412.00,1.36532002E+4,
413.00,1.45856064E+4,
414.00,1.40421533E+4,
415.00,1.50251934E+4,
416.00,1.47849922E+4,
417.00,1.45437354E+4,
418.00,1.53312910E+4,
419.00,1.42540166E+4,
420.00,1.56597109E+4,
421.00,1.40950723E+4,
422.00,1.50762002E+4,
423.00,1.40760508E+4,
424.00,1.22268965E+4,
425.00,1.42023486E+4,
426.00,1.44023896E+4,
427.00,1.43932285E+4,
428.00,1.49069570E+4,
429.00,1.34296670E+4,
430.00,1.35521387E+4,
431.00,1.31297773E+4,
432.00,1.31877178E+4,
433.00,1.34057412E+4,
434.00,1.28700527E+4,
435.00,1.18694014E+4,
436.00,1.19914902E+4,
437.00,1.11320996E+4,
438.00,1.16280176E+4,
439.00,1.10600566E+4,
440.00,1.09222109E+4,
441.00,1.01346123E+4,
442.00,1.10692139E+4,
443.00,1.11841738E+4,
444.00,1.10716670E+4,
445.00,1.10325342E+4,
446.00,1.01403652E+4,
447.00,1.02267354E+4,
448.00,1.04754307E+4,
449.00,1.05527881E+4,
450.00,1.04390947E+4,
451.00,1.18300625E+4,
452.00,9.97809375E+3,
453.00,1.00257646E+4,
454.00,9.95020605E+3,
455.00,9.74392969E+3,
456.00,1.10816758E+4,
457.00,9.86225977E+3,
458.00,1.05447861E+4,
459.00,1.05434980E+4,
460.00,1.02011367E+4,
461.00,9.77687500E+3,
462.00,9.53214258E+3,
463.00,1.04171406E+4,
464.00,1.08115361E+4,
465.00,1.10156270E+4,
466.00,1.16140898E+4,
467.00,1.04001055E+4,
468.00,1.05948193E+4,
469.00,1.03495215E+4,
470.00,1.05022227E+4,
471.00,1.10033848E+4,
472.00,1.05788809E+4,
473.00,1.10681377E+4,
474.00,1.23190068E+4,
475.00,1.04627861E+4,
476.00,1.19676846E+4,
477.00,1.31339707E+4,
478.00,1.14139922E+4,
479.00,1.37575400E+4,
480.00,1.35083721E+4,
481.00,1.29621025E+4,
482.00,1.18535645E+4,
483.00,1.29064834E+4,
484.00,1.30582744E+4,
485.00,1.10703975E+4,
486.00,1.26138662E+4,
487.00,1.17944111E+4,
488.00,1.01316865E+4,
489.00,1.03790869E+4,
490.00,1.06997246E+4,
491.00,1.01102666E+4,
492.00,1.06605869E+4,
493.00,1.08480977E+4,
494.00,1.08032725E+4,
495.00,1.04325449E+4,
496.00,1.05431299E+4,
497.00,1.18568379E+4,
498.00,1.03273643E+4,
499.00,9.85753711E+3,
500.00,1.06433799E+4,
501.00,1.22391602E+4,
502.00,1.26870215E+4,
503.00,1.28215254E+4,
